date_posted;funny;helpful;hour_played;recommendation;title;Rank;Year;Genre;Publisher;Global_Sales
14-04-2015;0;0;112;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;260;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;274;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;350;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;360;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;411;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;469;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;498;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;623;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;716;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;844;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;1045;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;42;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;174;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;225;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;239;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;250;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;345;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;709;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;722;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;860;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;1049;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
15-04-2015;0;0;1337;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
16-04-2015;0;0;72;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
16-04-2015;0;0;117;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
16-04-2015;0;0;266;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
16-04-2015;0;0;521;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
17-04-2015;0;0;79;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
17-04-2015;0;0;178;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
17-04-2015;0;0;360;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
17-04-2015;0;0;393;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
17-04-2015;0;0;414;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
18-04-2015;0;0;165;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
19-04-2015;0;0;144;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
19-04-2015;0;0;801;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
19-04-2015;0;0;1756;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
20-04-2015;0;0;185;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
